id;large;large_height;large_width;medium;medium_height;medium_width;small;small_height;small_width;jhi_raw;cropx;cropy;crop_height;crop_width
1;wary even;7701;27526;likely;15808;30267;geez;17449;28536;birthday through expensive;24045;3571;14651.12;24026.6
2;phooey except;4217;18601;oof meh disloyal;26847;14848;deceivingly;30832;6764;dilute headrest;3902;27984;8530.92;12666.55
3;warmly;18916;30663;opposite;21875;24706;only lest;20925;22767;divulge score inasmuch;22782;15633;19805.05;30288.13
4;ah originality;30079;21308;authenticate behind unto;3668;20543;um;4110;4320;hence;27525;23919;8918.39;1988.91
5;where;15310;32160;ecliptic;28739;21289;ouch;17668;4069;competition;8248;1846;13318.3;31525.22
6;jovially;14170;2312;provided;19170;24521;pudding misappropriate shadowy;16962;23067;deliberately;24389;7512;20824.57;19574.84
7;burden including;14249;26685;shyly;28910;31416;wherever;15944;26007;aha;1180;5354;25975.25;4620.32
8;gadzooks;31341;22710;midst though;13986;15848;knobby eyestrain;7357;31304;buttery belittle commonly;5035;6520;7273.7;4489.88
9;contain genuflect;12718;5412;reconvene mellow absent;4306;2311;that clarify;19091;29186;ouch;24083;32157;11948.77;8271.47
10;versus;257;17531;mockingly extroverted;31587;8087;hence;17278;21204;swine;16276;30700;12964.62;15074.98
