id;tag;tag_display;jhi_group;group_display;color;tag_search_query
1;indeed sportsman throughout;home;yum;merrily;tan;equal lest
2;but address loudly;amid extremely notwithstanding;usually;towards opposite;black;abandoned silver
3;predate;far-flung context usually;resistance wherever per;harmful;teal;huzzah after oof
4;gadzooks;phooey unsteady equal;rudely only elbow;provided;magenta;yuck
5;envious up;mistrust an;versus;athwart;olive;softly sabotage chilly
6;yet;on;kiss since;brief inbox;orange;collar
7;periodic milkshake;bah;finally nor solid;consequently;grey;valet
8;maker likely nationalise;excellence;up ack save;great-grandmother;cyan;absent
9;lined bitterly;salty inconsequential prune;while wonderfully nonconformist;worth thankfully nurse;sky blue;cuff feud
10;apropos gleam;little;supportive;release even;tan;timely paranoia
