id;total_spend_localper_cover;last_visit_date;total_cancellations;total_covers;avg_rating;total_spendper_cover;total_spend;total_no_shows;num_ratings;total_spend_per_visit;total_spend_local;total_spend_local_per_visit;total_visits;gross_total;total_order_count;total_order_cancellations;total_order_spend;gross_order_total;total_order_spend_local;last_order_date;total_spendper_order;total_spend_localper_order;venue_id;venue_marketing_optin;venue_marketing_optints
1;8683.53;amidst;16563;3645;205;8365.38;10598.53;32638;2829;23411.18;18478.55;22418.74;14848;13740.6;8851.41;31047.63;13470.04;16414.32;32435.53;though elude somersault;20926.98;3459.46;eek that;true;safely supposing
2;13034.89;knead yuck creche;12584;6178;26338;14487.31;29444.28;26730;20370;23935.34;11562.74;20921.94;3216;6097.88;31501.26;3084.25;22169.06;30124.75;3901.18;lest adored horrible;5091.81;12392.98;decimal remould including;true;blissfully indelible dromedary
3;26896.41;until yomp;2151;28034;12353;23685.76;24049.68;32200;32087;8724.65;4532.22;24420.8;1712;26354.23;18569.21;1897.34;24015.33;10397.1;32742.99;yahoo dictate pristine;25288.11;12755.76;musculature;false;whereas rapidly ick
4;12157.95;gadzooks;9264;30370;17015;15064.55;16863.81;3801;1682;22179.07;1386.94;29704.47;3316;30539.36;2030.47;2073.73;18933.67;9143.94;22247.93;oof whoever;6954.81;7208.89;that magnify tomorrow;false;boohoo irritably although
5;11760.61;against;22107;10925;17050;26492.61;12444.19;26475;30671;29995.71;26418.64;26075.53;4224;7199.51;7777.24;29812.06;18602.94;10639.73;1275.83;occasional;32668.91;24027.75;dual duh;false;gosh
6;22658.76;outside what;8410;14997;4328;1165.95;2425.45;8933;1474;32449.69;21806.72;20836.88;11700;21947.45;14026.12;20650.11;30880.83;8238.53;10442.17;secret brr;28773.53;20923.83;aside lunch spotlight;true;agglomerate unless though
7;17777.59;even or;11865;41;30022;23862.69;22102.41;24781;13368;9310.82;28965.98;10812.16;22884;10850.54;11405.03;11639.91;29277.93;29752.54;30023.34;questioningly;28165.88;25138.76;uh-huh mysteriously geez;true;ack razor
8;28078.52;summon meh;19286;31096;27406;24514.48;5969.09;28737;25948;31067.5;11950.16;9007.76;1241;1251.05;30771.9;6361.39;31280.84;24124.88;2527.05;quarter;29130.84;17787.39;ack;true;who ridge likewise
9;14006.57;quest if;23876;11150;27359;6495.68;2925.65;9949;3450;4108.12;10447.78;24198.4;482;2738.07;27860.68;7748.78;8359.03;16153.69;1995.09;fooey nightgown;1719.81;9834.23;genuine;false;flock throughout
10;20600.53;across easily;9054;5099;28092;27045.7;8331.47;5855;21141;24780.64;25836.82;7888.05;30209;28300.31;14151.01;374.93;12786.59;28431.5;18007.44;unless ox;14525.55;11872.54;tire;false;which except
