id;system_name;display_order;name;jhi_value
1;gnu;20260;neatly;past as
2;more inasmuch for;15267;sans;oof swipe
3;reluctantly;31322;pointless;circumnavigate physically
4;perturb gaseous;16008;incidentally inconsequential;unethically
5;transplant given truly;30846;boatload;cephalopod
6;in plus for;13344;promise oh;politely
7;empathize;23751;sans;agonizing specialize
8;into positively;3788;mindless fancy until;swift always
9;god;24087;ample deliberately;and
10;but;14716;deduct deliberately composite;mileage yet
