id;system_name;display_order;name;jhi_value
1;athwart;29938;down;ha
2;er;20551;uh-huh;profuse even
3;towards disastrous;16303;lest flake familiar;verbally afterwards outside
4;gander psst;21010;nor;ha knavishly
5;over;26509;hence;blah hence
6;clock incidentally restroom;26308;although kosher;that
7;gadzooks whoever;2307;incidentally offensive narrow;anesthetize provided
8;weeder brr;26054;rev till sizzling;reincarnate
9;from snowball;10462;with failing mantua;pianist total yowza
10;exposition wooden ick;4980;expensive pennant;importune
