id;status;admin_fee;code;table_no;tax;business_id;ticket_id;local_posticket_id;employee_name;total;subtotal;start_time;service_charge;endtime
1;formation concerning bustle;18834.11;14358;medium murky within;3038.39;8071;23750;curly or;ack;6418.37;10461.08;anenst failing arid;19194.57;number
2;whenever taxpayer sabre;8929.78;14522;why;23408.78;27236;1059;unless fooey;screw-up er;20452.99;7995.55;brightly;5841.65;reason monstrous
3;mortally rebut strike;31091.71;9446;unimpressively;21634.73;25393;8226;incompatible;oof marketing whereas;8387.45;11179.65;marines helicopter;27143.49;negative yet blah
4;honored;24656.99;5139;yahoo acidly shakily;13074.69;23930;28586;ick neatly;why likewise estrogen;22974.21;1168.02;strictly household politely;20482.34;vice until
5;whoever;32006.57;26854;because upbeat;14108.34;97;4370;soon yippee;madly whistle;5871.08;4067.63;instant cartoon;4171.17;gird jaggedly
6;since drat likewise;16877.49;6091;unless physical;2173.14;13936;23666;drat onto supposing;among um utilization;11073.82;28925.68;questioningly outside;19190.28;termite
7;shoelace;29350.76;24377;definitive;9880.95;27162;17599;wherever;ack;17164.61;1438.69;keel phooey;26264.59;incidentally
8;plaster via pish;6142.26;9300;humiliate kiss fearful;29096.35;7282;6805;unimportant;stinger ugh beneath;25326.8;9222.73;where;12173.56;at trim
9;hm modulo;9742.55;173;brr more;25407.6;26821;30836;aboard quietly;boo rejoin;13159.12;29460.1;ha ah;4208.83;questionably
10;bony misunderstand unto;14492.39;20314;quarter brr attainment;935.67;21355;28418;astride;if ionise by;18834.99;2421.73;woot supposing amongst;12152.5;bah bibliography
