id;tag;tag_display;jhi_group;group_display;color;tag_search_query
1;crafty patch;aha;tired gosh carom;grind;teal;reach bah
2;good-bye suspiciously naturally;volunteer;carouse;misname woot;teal;reservation the
3;voluminous;duster;considering;gee when brisk;purple;however excitedly successfully
4;though;hurtful;lest;now petty satisfaction;lavender;within
5;manicure ignorant;finally phew offensively;autograph;voluntarily carpeting wetly;magenta;while extremely
6;gosh although coaxingly;at;cot;usefully on;olive;distress alias whereas
7;tie ick;although vol;liquid throughout;comestible though reasonable;ivory;gently frantically integration
8;repeatedly;sweetly term;now now maniac;ghost ha rusty;white;bah metabolite
9;safari disseminate;hastily;reluctantly;huzzah when boohoo;fuchsia;stopwatch outlive
10;boohoo dynamite vice;per require;dirt moist;pace righteously instead;grey;firm
